IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,66,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,66,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,66,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,66,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,54,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,54,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,56,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,59504,53,TCP,103,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,56,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50630,53,TCP,103,2026-03-04 21:13:05,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,54,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,59504,TCP,54,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,54,2026-03-04 21:13:05,10.20.53.33,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,50630,TCP,54,2026-03-04 21:13:05,10.20.53.33,,,N/A
